username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bbcmundo;2016-09-26 16:53;10;12;"Lo que la apertura de la primera megatienda de Apple en México dice sobre su estrategia para América Latina http://bbc.in/2dbfkXH pic.twitter.com/VxefJGGcYP";;;;"780555829741223936";https://twitter.com/bbcmundo/status/780555829741223936
mobilfunk_news;2016-09-26 16:15;0;0;"Neues iPhone: US-Late-Night-Komiker witzeln über Apple http://bit.ly/2d4Y2Lw";;;;"780546412601683969";https://twitter.com/mobilfunk_news/status/780546412601683969
YJ_videotopics;2016-09-26 16:01;13;29;"大きく変化したiOS10の新機能を解説 http://videotopics.yahoo.co.jp/videolist/official/hobby_cooking_life/p6dc2156cc2fb1368cc1a7af2da970bc6 … # アップル # Apple # iOS10 @ AppStoreJP @ asciijpeditors @ weeklyascii @ tsubasa_desu";;@ @ @ @;# # #;"780542794960080896";https://twitter.com/YJ_videotopics/status/780542794960080896
engadget;2016-09-26 16:00;26;30;"Apple will start selling Sonos speakers today http://engt.co/2dlMpTF pic.twitter.com/lqPwmVWFbr";;;;"780542505217654785";https://twitter.com/engadget/status/780542505217654785
uugwuu;2016-09-26 15:44;4;10;"i talked to Iovine + co. about chasing exclusives, competing w/ free, and what Apple can/should be to the music biz. https://www.buzzfeed.com/reggieugwu/inside-apple-musics-second-act?utm_term=.fxbLBbAqYO#.ieNWBjkAV7 …";;;#;"780538517478903808";https://twitter.com/uugwuu/status/780538517478903808
JohnPaczkowski;2016-09-26 15:31;24;33;"Inside Apple Music’s Second Act https://www.buzzfeed.com/reggieugwu/inside-apple-musics-second-act?utm_term=.om0kkEpoz … via @ uugwuu @ buzzfeedpic.twitter.com/OBgzSJMmQ0";;@ @;;"780535352696025089";https://twitter.com/JohnPaczkowski/status/780535352696025089
engadget;2016-09-26 15:29;18;30;"Apple Watch could soon track your sleep and fitness levels http://engt.co/2cyAVLV pic.twitter.com/VCCs1vtihV";;;;"780534828160716800";https://twitter.com/engadget/status/780534828160716800
StandWithUs;2016-09-26 14:30;7;17;"18 Apple recipes that will impress your Bubbie at Rosh Hashanah! https://www.buzzfeed.com/juliareinstein/party-like-its-5776?utm_term=.oo5Zp8Bgp#.bngg3XLV3 …pic.twitter.com/DsYbWJGI2C";;;#;"780519847163682817";https://twitter.com/StandWithUs/status/780519847163682817
marion_pastoors;2016-09-26 14:29;0;0;"macOS Sierra: Mac mit Apple Watch entsperren – so geht’s http://ift.tt/2deWmB2";;;;"780519662232756228";https://twitter.com/marion_pastoors/status/780519662232756228
mashable;2016-09-26 14:25;26;27;"Apple is reportedly working on new sleep and fitness apps for the Apple Watch http://on.mash.to/2dmYPqk pic.twitter.com/bXLPqBungW";;;;"780518578785251329";https://twitter.com/mashable/status/780518578785251329
pc_watch;2016-09-26 14:01;21;19;"【西川和久の不定期コラム】Apple「iPhone 7 Plus」発売日に無事ゲットして1週間使ってみました編！ http://pc.watch.impress.co.jp/docs/column/nishikawa/1021828.html …pic.twitter.com/fv2zrMtTo7";;;;"780512543307550720";https://twitter.com/pc_watch/status/780512543307550720
TechCrunch;2016-09-26 13:47;11;31;"Drake’s new short film “Please Forgive Me” arrives as an Apple Music exclusive http://tcrn.ch/2dwrIUm";;;;"780509013209391105";https://twitter.com/TechCrunch/status/780509013209391105
futureshift;2016-09-26 13:41;16;12;"These new Apple Watch apps could be key for company's healthcare ambitions http://on.mash.to/2dmY0hk pic.twitter.com/638HMZciDn";;;;"780507684005175297";https://twitter.com/futureshift/status/780507684005175297
CP_Film_TV;2016-09-26 13:39;0;0;"iPhone 7: Apple-Staranalyst Ming-Chi Kuo prognostiziert schwächere Absätze als beim iPhone 6s: Die Hiobsbotsc... http://bit.ly/2d1mgKt";;;;"780507064279797764";https://twitter.com/CP_Film_TV/status/780507064279797764
JacksonPearce;2016-09-26 16:39;2;3;"Bloomberg TV will be live fact-checking the debate! If you've got Apple TV you can watch it there, easy peasy. http://www.politico.com/blogs/on-media/2016/09/bloomberg-to-fact-check-debate-on-screen-228670 …";;;;"780552370229014528";https://twitter.com/JacksonPearce/status/780552370229014528
HuffPostComedy;2016-09-26 16:11;1;4;"Bill Maher rips Apple for releasing new iPhones every year by @ lee_moran http://huff.to/2d4yU95 pic.twitter.com/5DHVKo3PND";;@;;"780545360066404352";https://twitter.com/HuffPostComedy/status/780545360066404352
ApplWatchNews;2016-09-26 16:08;3;5;"# AppleWatch Health insurer bribes customers to exercise with an Apple Watch - http://Telegraph.co.uk  http://ift.tt/2dbPm6v";;;#;"780544667884675072";https://twitter.com/ApplWatchNews/status/780544667884675072
WSJTech;2016-09-26 16:04;7;2;"Apple's new AirPods: the good, the bad, and the uh-oh I just lost them http://on.wsj.com/2cQMwlw";;;;"780543696173428736";https://twitter.com/WSJTech/status/780543696173428736
catchatweetdown;2016-09-26 16:02;5;10;"On NPR's ATC today we discuss importance of shifting the conversation from "bad apples" to deep structural change. http://ln.is/www.npr.org/2016/09/vgiyH …";;;;"780542990762803200";https://twitter.com/catchatweetdown/status/780542990762803200
mims;2016-09-26 15:58;3;7;"So apparently Google's going to beat Apple by including a headphone jack in its forthcoming flagship phone http://venturebeat.com/2016/09/26/this-is-the-google-pixel/ …";;;;"780541983567720448";https://twitter.com/mims/status/780541983567720448
