username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
g1;2016-04-18 16:55;19;61;"Apple cria iPad Pro que deve ser leiloado por até R$ 75 mil http://glo.bo/1r9P6d7 # G1pic.twitter.com/T3oUQ8ryUs";;;#;"722211888386297858";https://twitter.com/g1/status/722211888386297858
ForbesTech;2016-04-18 16:40;27;42;"Leaks have revealed an idea for an all-glass Apple iPhone http://onforb.es/1SOYetD pic.twitter.com/YRC8uOvoOy";;;;"722208088175091712";https://twitter.com/ForbesTech/status/722208088175091712
mhj050178;2016-04-18 16:23;0;0;"Security: Apple beendet Quicktime für Windows http://www.golem.de/news/security-apple-beendet-quicktime-fuer-windows-1604-120381.html …";;;;"722203898904231936";https://twitter.com/mhj050178/status/722203898904231936
TheNextWeb;2016-04-18 16:04;17;15;"Apple's developer portal has new sections building great apps that make money http://tnw.me/Fp4TH8W pic.twitter.com/AMoTJK4z6Q";;;;"722199098007363584";https://twitter.com/TheNextWeb/status/722199098007363584
20Minutes;2016-04-18 15:47;108;27;"Apple estime la durée de vie de l'iPhone à trois ans http://bit.ly/1SOPN1r pic.twitter.com/EKznRpdXXL";;;;"722194767858253825";https://twitter.com/20Minutes/status/722194767858253825
rgoverstreet;2016-04-18 15:30;0;0;"ICYMI: Apple heuert deutsche Autoexperten für # iCar-Labor in # Berlin. @ faznethttp://bit.ly/1rc0MfH";;@;# #;"722190500208386048";https://twitter.com/rgoverstreet/status/722190500208386048
welt;2016-04-18 15:13;8;6;"Apple: Entsteht das iCar von Apple in Berlin? http://to.welt.de/xIzYoHY pic.twitter.com/2MKQQwO8cu";;;;"722186270559092737";https://twitter.com/welt/status/722186270559092737
TIME;2016-04-18 15:10;36;50;"Siri may have just spilled an Apple secret http://ti.me/1qUmDrn";;;;"722185451185049601";https://twitter.com/TIME/status/722185451185049601
BrandmoreDE;2016-04-18 14:52;0;0;"Frisch zubereitet in der Gerüchteküche # Berlin # Apple # iCarhttp://www.gruenderszene.de/automotive-mobility/apple-labor-icar-titan-berlin-oesterreich …";;;# # #;"722180934318047232";https://twitter.com/BrandmoreDE/status/722180934318047232
tblar;2016-04-18 14:50;0;0;"Apple Car: Das Apple-Auto soll per Carsharing vermarktet werden - Golem.de http://www.golem.de/news/apple-car-das-apple-auto-soll-per-carsharing-vermarktet-werden-1604-120388.html …";;;;"722180483522654208";https://twitter.com/tblar/status/722180483522654208
