TICKER,PUBLICATION_DATE,SUMMARY
AAPL,2018-05-02 20:54:24 +0000,U.S. stocks fell on Wednesday as potential U.S. restrictions on Chinese telecom companies reinforced investor concerns about worsening trade relations between the United States and China. Wall Street's ...
AAPL,2018-05-02 20:39:43 +0000,"U.S. technology heavyweights like Apple, Amazon and Intel along with Wall Street's biggest banks look like the early winners from Republicans' corporate tax cuts, boosting their bottom lines by more than $11 billion so far, a Reuters analysis of first-quarter earnings showed.  S&P 500 companies on average have slashed their median effective tax rates to 21 percent in the March quarter, down 6 percentage points from a year ago, according to an analysis of 252 earnings reports.  In the latest big example, Apple Inc (AAPL.O) on Tuesday reported a $13.8 billion net profit for the March quarter, up $2.8 billion from the year before, with nearly half of that increase resulting from a reduced tax rate."
AAPL,2018-05-02 20:36:00 +0000,"is overpriced, the tech giant's latest quarterly results came in better than I and others expected.  An expanding services business improves business quality and will be greeted optimistically by the market's Apple bulls.  As a result, the market appears willing to reset Apple's valuation higher -- to a level I don't feel is justified, but markets will do what markets will do."
AAPL,2018-05-02 20:35:09 +0000,"Apple (AAPL) continues to see cutthroat competition in China, the largest market for smartphones, with local players coming in on top.  Apple is struggling with total shipment growth, but the companyâ€™s declining sales in China are a big concern.  According to the latest report by research firm Canalys, local company Xiaomi has overtakenÂ Apple to become the fourth-largest vendor by shipments in China in the March quarter."
AAPL,2018-05-02 20:29:00 +0000,"rose nearly 5% after the iPhone maker's fiscal-second quarter earnings beat Wall Street estimates.  The Federal Reserve decided to keep interest rates unchanged.  Stocks were lower on Wednesday, May 2, after the Federal Reserve decided to keep interest rates unchanged."
AAPL,2018-05-02 20:24:00 +0000,"Technically, it has still not generated profits butÂ  Spotify, founded in Sweden,Â is one of the world's most popular music streaming applications with over 159Â million active users as of December 2017.  Spotify evolved from the idea of combating music piracy.  Its business model was welcomed by the music industry which has suffered losses in revenues and album sales due to music piracy over the Internet.Â SpotifyÂ allows users to either stream music for free if they are willing to listen to advertisements, or pay a subscription fee for a premium service, meanwhile paying royalties due to artists and record companies."
AAPL,2018-05-02 20:07:56 +0000,The Republican tax cuts are paying off bigtime for Apple shareholders.
AAPL,2018-05-02 19:39:00 +0000,"Appleâ€™s (AAPL) stock is up $8.53, or 5%, at $177.63, steadily adding to gains, after its iPhone sales for the March quarter, reported yesterday afternoon, were not as bad as people expected, at 52.2 million units, versus some expectations as low as 49 million units.  China, in particular, continues to be weak, following a rough December quarter, with sales of smartphones there dropping in the March quarter by nearly 30% according to data released by Chinaâ€™s Ministry of Industry and Information.  Strategy Analytics pegs the quarterâ€™s total phone sales at 345 million units, a drop of 2%, and the firmâ€™s Linda SuiÂ places blame on ""longer replacement rates, diminishing carrier subsidies, and a lack of new hardware design innovation.â€ù Thatâ€™s despite the fact that Apple did well with the iPhone X, by the firmâ€™s reckoning."
AAPL,2018-05-02 19:34:28 +0000,"Using the CBOEâ€™s ICJ Index, we can see the expected average correlation of S&P 500 (SPY) Index components implied through option prices and prices of single-stock options on the 50 largest components of the S&P 500 that are tied to Jan 2019 maturities.Â  Isnâ€™t this fun!Â  See the downward trend below."
AAPL,2018-05-02 19:25:51 +0000,"The dollar was off its highs of  the day and Treasury yields eased on Wednesday after the Federal  Reserve held interest rates steady and gave no signals it was in  a rush to increase the pace of rate hikes.  Ahead of the statement, some investors were nervous the Fed  might sound more hawkish on policy tightening after recent  concerns about rising inflation.  ""It looks like it maybe calmed some nerves (of investors)  who maybe were expecting a faster pace of hikes because of the  rise in inflation,"" said Collin Martin, fixed income strategist  at Schwab Center for Financial Research in New York."
AAPL,2018-05-02 19:25:15 +0000,U.S. stocks briefly rose but  returned to negative territory on Wednesday after the Federal  Reserve left interest rates unchanged in its policy  announcement.  The Federal Open Market Committee unanimously decided to  keep its lending rate in a target range of between 1.50 percent  and 1.75 percent.
AAPL,2018-05-02 19:11:00 +0000,"Want to know why the Dow Jones Industrial Average is doing what it's doing?  The Dow Jones Industrial Average has dallen38.47 points, or 0.2%, to 24060.58, while theÂ S&P 500Â is down 0.2% at 2649.18.  The Nasdaq CompositeÂ has ticked up 0.1% to 7138.85."
AAPL,2018-05-02 19:10:00 +0000,"Two weeks ago, Wall Street was in ""Full Panic Mode"" over Apple after companies that supply parts for the iPhone X reported weak demand.  Apple dropped nearly 9% and Wall Street analystsÂ warnedÂ thatÂ an Apple shortfallÂ could trigger a broader stock market drop.  Last week, in the midst of the panic,Â John Archer, one of my managers, bought more."
AAPL,2018-05-02 19:05:00 +0000,"Guns will be on the agenda for the California State Teachers' Retirement Systemâ€™s investment committee meeting next weekâ€”more specifically, whether the pension fund should make discussions with all facets of companies involved with guns its top engagement priority, Christopher Ailman, the $222 billion pension fundâ€™s chief investment officer told Barronâ€™s on Tuesday.  Barronâ€™s caught up with Ailman at the Milken Institute Global Conference in Beverly Hills, Calif., this week to talk about guns, his push to make companies and investors think beyond a quarter, and what a Goldilocks market means for positioning."
AAPL,2018-05-02 19:04:00 +0000,"Apple released its latest earnings report Tuesday after the bell, selling fewer iPhones than anticipated, stimulating investor fears.  Customers remain loyal to the Apple brand and sales remain strong in China, one of the company's most important markets."
AAPL,2018-05-02 19:03:23 +0000,"Facebook (FB), Microsoft (MSFT), and Alphabetâ€™s (GOOG) Google have all made some progress in the virtual reality space. Now it looks like Apple (AAPL) is going to join them."
AAPL,2018-05-02 19:02:00 +0000,CNBC's Josh Lipton reports Apple is the Dow's big mover today after an earnings beat and strong guidance issued yesterday.
AAPL,2018-05-02 18:52:00 +0000,Apple is proving skeptics wrong.
AAPL,2018-05-02 18:51:00 +0000,"rose 4.9% after the iPhone maker's fiscal-second quarter earnings beat Wall Street estimates.  The Federal Reserve decided to keep interest rates unchanged.  Stocks were mixed on Wednesday, May 2, after the Federal Reserve decided to keep interest rates unchanged and as shares of Apple Inc."
