TICKER,PUBLICATION_DATE,SUMMARY
TSLA,2018-05-02 23:52:48 +0000,"Shares fizzled as Elon Muskâ€™s conference call progressedBloomberg News/LandovA Tesla Model 3 displayed in Los Angeles last year.  Tesla Inc. late Wednesday reported first-quarter results that surpassed Wall Street expectations and said it had made â€œsignificant progressâ€ù on Model 3 production, but the beat elicited a muted reaction from investors and shares tanked by the time the post-results conference call was over.  Tesla (TSLA)Â said it lost $709.6 million in the quarter, or $4.19 a share, compared with a loss of $330.3 million, or $2.04 a share, in the year-ago period."
TSLA,2018-05-02 23:47:00 +0000,"Tesla announced its March quarter results after the close on Wednesday, May 2.  Musk basically said the questions were boring.  The questions from Russell were fine as they regarded more strategic thoughts, but werenâ€™t much help to insure that Tesla would be able to hit the 5,000 per week Model 3 production ramp by the end of June."
TSLA,2018-05-02 23:32:18 +0000,"Tesla Inc (TSLA.O) stood by its production targets for its Model 3 on Wednesday, assuring investors that its key new vehicle was on track, and sought to downplay increased wariness over its finances, saying it expected to achieve net profit in both its third and fourth quarters.  Tesla said its spending had been trimmed and the company would spend less than $3 billion in capital expenditures in 2018, below its 2017 total of $3.4 billion.  Analysts had not expected so much spending, predicting hundreds of millions of dollars less in so-called cash burn, according to Thomson Reuters data."
TSLA,2018-05-02 23:27:03 +0000,"Stock futures fell modestly late Wednesday. Tesla, Spotify and Square sold off following earnings reports. Big Data software firm Tableau vaulted late."
TSLA,2018-05-02 23:20:00 +0000,"Tesla CEO Elon Musk said he has no intention of raising capital.  The company plans to cut about $400 million in capital expenditures in 2018, but analysts still see the company needing to raise more capital in the future.  Tesla TSLA CEO Elon Musk has no intention of raising more capital, even though some on Wall Street think he should."
TSLA,2018-05-02 23:10:18 +0000,"Tesla earnings calls are unlike other companiesâ€™ -- CEO Elon Musk freelances, rambles and mumbles -- but this was a whole different experience."
TSLA,2018-05-02 23:07:05 +0000,"ElonÂ Musk has had it with you guys.  Tesla Inc.â€™s first-quarter earnings report began on a reasonably positive note Wednesday evening, as the companyâ€™s adjusted net lossÂ of $3.35 a share beat the consensus forecast by 6.5 cents per share, or $11 million.  Despite saying initially that he was up for a long Q&A session, Musk cut off analyst questions, complaining they were â€œso dry.â€ù Thatâ€™s when he fired up a YouTube channel to take questions from retail investors (something that was arranged this week over, what else, Twitter)."
TSLA,2018-05-02 23:02:51 +0000,"A U.S. traffic safety regulator on Wednesday contradicted Tesla Inc's (TSLA.O) claim that the agency had found that its Autopilot technology significantly reduced crashes, saying that regulators ""did not assess"" the system's effectiveness in a 2017 report.  Autopilot, a form of advanced cruise control, handles some driving tasks and warns those behind the wheel they are always responsible for the vehicle's safe operation, Tesla has said.  The U.S. National Highway Traffic Safety Administration, which issued the statement, and National Transportation Safety Board are investigating a fatal crash in March in which the driver was using Autopilot."
TSLA,2018-05-02 22:53:00 +0000,"It is a crucial quarter for a company that has been burning through cash at an alarming rate while its CEO Elon Musk continues to tweet and pontificate over the company's long-term goals.  Tesla is not for the faint of heart: ""I think that if people are concerned about volatility they should not buy our stock,"" says Musk on a conference call with investors.  Tesla ended the first quarter with $2.7 billion in cash and $10.8 billion in long-term debt and capital leases."
TSLA,2018-05-02 22:50:00 +0000,"Of course, I'm not sure Wall Street anticipated that deferred revenue would drop by $500 million.  Without it, Tesla would have missed on analyst expectations, which begs the question: ""Was that real, or was it just done to facilitate a beat?"
TSLA,2018-05-02 22:47:55 +0000,"The companyâ€™s free cash flow widened to about a negative $1 billion after burning $277 million in the final three months of last year, a figure that was unusually low thanks, in part, to delays in spending and customer deposits.  repeated on Wednesday that Tesla is still on pace to make about 5,000 Model 3s in a single week by around the end of the second quarter.  The twice postponed goal is critical, analysts say, for Tesla to generate cash and reach profitability."
TSLA,2018-05-02 22:47:03 +0000,"Stock futures fell modestly late Wednesday. Tesla, Spotify and Square sold off following earnings reports. Big Data software firm Tableau vaulted late."
TSLA,2018-05-02 22:46:27 +0000,"Tesla told investors today (May 2) it would deliver the Model 3, and profitability, by the end of 2018, after more than a decade of annual losses. In a letter to investors (pdf) before todayâ€™s earnings call, Tesla stated it would be producing 5,000 Model 3s per week â€œin about two monthsâ€ù after a yearâ€_"
TSLA,2018-05-02 22:35:00 +0000,"CEO Elon Musk took several questions, instead, from Gali Russell, a 25-year-old retail investor in Tesla and Youtuber.  Shares in Tesla TSLA took a nosedive in after-hours trading today as Elon Musk cut off analysts during a first-quarter earnings call."
TSLA,2018-05-02 22:26:10 +0000,Elon Musk cut off several analyst questions on Teslaâ€™s earnings call and went to a YouTube channel for retail investors (arranged over Twitter).
