username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HuffPostTech;2014-03-22 16:57;5;8;"We have no clue why this fake Tesla ad isn't a real Tesla ad to be honest http://huff.to/1fLRjOk";;;;"447522378915270657";https://twitter.com/HuffPostTech/status/447522378915270657
TheStreet;2014-03-22 13:11;6;3;"Tesla? I think this company could be banned from selling any cars and the stock could still go higher: http://trib.al/JJ07bOY";;;;"447465515309862913";https://twitter.com/TheStreet/status/447465515309862913
TIME;2014-03-22 13:00;73;55;". @ nickgillespie on why Uber, Tesla and Airbnb are on the government's hit list http://ti.me/NDsltD";;@;;"447462750235525121";https://twitter.com/TIME/status/447462750235525121
TIMEIdeas;2014-03-22 08:18;5;2;"Competitors have taken out a hit on Uber, Tesla and Airbnb—govt is the hit man: http://ti.me/1jbmxC2  via @ TIMEIdeaspic.twitter.com/SRXtYAFIqC";;@;;"447391997171490817";https://twitter.com/TIMEIdeas/status/447391997171490817
joemccann;2014-03-22 06:36;11;2;"The Government Is a Hitman: Uber, Tesla and Airbnb Are in Its Crosshairs http://pocket.co/sl2AT";;;;"447366304497139713";https://twitter.com/joemccann/status/447366304497139713
i_Know_First;2014-03-22 02:38;8;8;"Tesla Motors Inc ($TSLA) news: Bullish Algorithmic Forecast For Tesla, But Is Now The Time To Buy? - Seeking Alpha http://ow.ly/uQMSN";;;;"447306231515189248";https://twitter.com/i_Know_First/status/447306231515189248
KevinSharpe59;2014-03-22 01:20;4;4;"Five ways # Tesla Motors pushes technology change in auto industry http://www.mercurynews.com/business/ci_25395275/five-ways-tesla-motors-pushes-technology-change-auto … # EVpic.twitter.com/GBFUK7MjjK";;;# #;"447286777976729600";https://twitter.com/KevinSharpe59/status/447286777976729600
Forbes;2014-03-21 23:18;65;52;"Buying Tesla means paying for everything you can see (and some things you can't) http://onforb.es/1fNER0g $ TSLA";;;;"447256089550397440";https://twitter.com/Forbes/status/447256089550397440
TheStreet;2014-03-22 12:30;2;1;"Should # Honda produce an electric minivan? Can they compete with # Tesla? http://trib.al/lUyopT1";;;# #;"447455209401614336";https://twitter.com/TheStreet/status/447455209401614336
smerges;2014-03-21 21:41;0;2;"Buying Tesla Means... http://onforb.es/1ooLay9  via @ forbes - if it's good enough for @ DaveHitz and @ hayesdrumwright, I'm in.";;@ @ @;;"447231505664716800";https://twitter.com/smerges/status/447231505664716800
ForbesTech;2014-03-21 20:59;16;14;"Buying Tesla means paying for everything you can see (and some things you can't) http://onforb.es/OGUbX4 $ TSLA";;;;"447221108358795264";https://twitter.com/ForbesTech/status/447221108358795264
TheStreet;2014-03-21 20:11;5;7;"Tesla? I think this company could be banned from selling any cars and the stock could still go higher: http://trib.al/EQN4gPD";;;;"447208817621999616";https://twitter.com/TheStreet/status/447208817621999616
MariaHalkias;2014-03-21 19:52;1;1;"Dallas' NorthPark plans new stores, including # Tesla http://share.d-news.co/Mk53HqH";;;#;"447204083292573697";https://twitter.com/MariaHalkias/status/447204083292573697
tsport100;2014-03-21 18:33;2;1;"Five ways Tesla Motors pushes technology change in auto industry - http://latimes.com  http://lat.ms/1iMe8GP # EVpic.twitter.com/ZZxdXCdmWy";;;#;"447184308185219072";https://twitter.com/tsport100/status/447184308185219072
jtemple;2014-03-21 17:39;1;1;"I can't actually decipher a point here but this @ TheStreet headline implies the NJ ban is the end of Tesla. Uh OK: http://www.thestreet.com/story/1554658/1/can-tesla-drive-on-after-nj-flap-fuggedaboutit.html …";;@;;"447170729599987713";https://twitter.com/jtemple/status/447170729599987713
